"Product ids","Product ids"
"Box Width","Box Width"
"Background color","Background color"
"Image Width","Image Width"
"Image Height","Image Height"
"Add values with comma separation e.g 16,17,25","Add values with comma separation e.g 16,17,25"
"e.g 300","e.g 300"
"e.g black,#000","e.g black,#000"
"e.g 75","e.g 75"
"e.g 70","e.g 70"
"Add a simple fancy product carousel","Add a simple fancy product carousel"
"Fancy product carousel","Fancy product carousel"
